animal_id,sex,longitude,latitude
KE_car004,f,-122.3872998,55.19803367
MO_car006,f,-122.441041,55.8452695
HR_car002,f,-122.1123246,54.84585894
MO_car005,f,-122.4126199,55.6115137
KE_car003,f,-122.3090656,55.17964289
HR_car001,f,-121.8955665,54.79914462
QU_car008,f,-121.3759404,54.95508317
QU_car007,f,-121.5144396,55.01077924
MO_car010,f,-122.4283635,55.62057375
MO_car009,f,-122.4283635,55.62057375
KE_car011,f,-122.8276088,55.10060221
QU_car014,f,-121.0077883,54.93470448
QU_car012,f,-121.4975209,55.08680268
QU_car013,f,-121.1354477,54.99173725
QU_car015,f,-121.6484788,54.84596772
HR_car017,f,-122.0215071,54.73731502
HR_car019,f,-122.622436,55.25290499
KE_car018,f,-122.622436,55.25290499
HR_car016,f,-122.1623857,54.68444694
MO_car020,f,-122.4283635,55.62057375
BP_car022,m,-122.112745,55.3291827
MO_car009,f,-122.4321849,55.63302764
MO_car021,f,-122.4982588,55.73641563
BP_car023,f,-122.27706,55.33143354
KE_car011,f,-122.4039453,55.1974871
KE_car024,f,-122.8176887,55.11430982
MO_car010,f,-122.6244912,55.74097258
KE_car025,f,-122.8158218,55.10778298
MO_car020,f,-122.4745015,55.62222675
KE_car027,f,-122.8175866,55.10919648
KE_car028,f,-122.8184636,55.10936852
KE_car026,m,-122.8372135,55.12425829
HR_car029,f,-121.8693721,54.64064391
HR_car019,f,-122.3044319,54.98381808
QU_car012,f,-121.3860704,55.12647647
HR_car030,f,-122.1327371,54.85115599
QU_car031,f,-121.259696,54.98549849
HR_car033,f,-122.1057086,54.70054251
BP_car032,f,-122.1111803,55.33570437
HR_car016,f,-122.2699003,54.77496809
HR_car034,f,-121.7687606,54.66469339
QU_car035,f,-121.418614,54.91831093
KE_car039,f,-122.6126612,55.24859698
QU_car038,f,-121.5044565,54.91675535
QU_car037,f,-120.9613893,54.87151888
QU_car036,f,-120.9613893,54.87151888
QU_car041,f,-121.3833312,55.13332455
BP_car043,f,-122.2005993,55.37099082
QU_car040,f,-121.3833312,55.13332455
KE_car044,f,-122.6136143,55.28654828
QU_car042,f,-121.3833312,55.13332455
QU_car046,f,-121.0139327,54.87210202
QU_car045,f,-121.0139327,54.87210202
MO_car052,f,-122.4701474,55.88574219
KE_car053,f,-122.3824952,55.47559924
NA_car056,f,-120.4629697,55.10098519
NA_car055,m,-120.59541,55.03074459
NA_car054,f,-120.6073092,55.02907353
QU_car060,f,-121.0255249,54.84444491
QU_car057,f,-120.8688407,54.86347588
QU_car059,f,-121.0272655,54.85090893
QU_car058,f,-120.8775911,54.86184041
KE_car061,f,-122.6145703,55.25288041
KE_car065,f,-122.6145703,55.25288041
KE_car062,f,-122.6145703,55.25288041
KE_car064,f,-122.6145703,55.25288041
KE_car063,f,-122.6145703,55.25288041
QU_car069,f,-121.3869846,55.13725555
MO_car066,f,-122.5969426,55.7496281
MO_car067,f,-122.5995964,55.75340165
QU_car070,f,-121.340369,55.11393606
QU_car074,f,-121.4229523,55.11432311
QU_car073,f,-121.300636,54.90022551
QU_car072,f,-121.3425189,54.9015771
QU_car075,f,-121.337448,55.11442649
QU_car071,f,-121.4283258,55.07449728
NA_car077,f,-120.5800836,55.07624912
NA_car078,f,-120.5959428,55.05450426
MO_car080,f,-122.5795948,55.79987005
MO_car079,f,-122.7949939,55.86289192
KE_car098,f,-122.5904404,55.23270883
KE_car096,f,-122.7896121,55.31367567
KE_car095,f,-122.7896121,55.31367567
KE_car099,f,-122.5904404,55.23270883
KE_car097,f,-122.5904404,55.23270883
MO_car102,f,-122.6061069,55.99397469
BP_car101,f,-122.3152811,55.42126297
BP_car100,f,-122.3152811,55.42126297
MO_car103,f,-122.497179,55.86862183
MO_car104,f,-122.4501234,55.78901711
QU_car106,f,-120.9844692,54.92434282
QU_car105,f,-121.0119635,54.93107863
QU_car107,f,-120.968233,54.87273019
QU_car110,f,-121.369821,55.14727287
QU_car112,f,-121.3354215,55.117158
QU_car114,f,-121.4930991,55.19721978
QU_car111,f,-121.369821,55.14727287
QU_car113,f,-121.3975716,55.12831791
QU_car109,f,-120.9574911,54.84935951
MO_car116,f,-122.7330221,55.84356276
BP_car115,m,-122.2046044,55.46154303
QU_car126,f,-120.9981135,54.93588476
QU_car125,f,-121.3813869,55.15345759
KE_car130,f,-122.5968472,55.20245574
KE_car128,f,-122.5939569,55.20392887
KE_car131,f,-122.4901805,55.19733882
KE_car129,f,-122.5920635,55.20624099
KE_car127,f,-122.499344,55.20449387
NA_car132,f,-120.2226574,55.02934921
NA_car133,f,-120.2299917,55.06321083
NA_car134,f,-120.2158518,55.09471258
QU_car136,f,-121.34178,55.00183461
NA_car135,f,-120.2233712,55.09478544
QU_car140,f,-120.8727234,54.86135971
QU_car138,f,-120.9595306,54.85339372
QU_car146,f,-121.501847,55.16550381
QU_car142,f,-121.345603,55.12121526
QU_car143,f,-121.3456004,55.12127813
BP_car144,f,-122.3378226,55.43659136
QU_car139,f,-120.9074971,54.86148763
QU_car141,f,-121.3456004,55.12127813
QU_car137,f,-120.9621918,54.86580666
BP_car145,f,-122.3378226,55.43659136
MO_car149,f,-122.4689794,55.85653501
MO_car147,f,-122.9456482,55.88340196
MO_car148,f,-122.8140168,55.81067319
